#node1	node2	combined_score
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Nuclear factor NF-kappa-B p100 subunit	0.979
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Interleukin-1 receptor-associated kinase 1	0.948
Inhibitor of nuclear factor kappa-B kinase subunit alpha	RAC-gamma serine/threonine-protein kinase	0.9
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Tyrosine-protein kinase BTK	0.9
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Mitogen-activated protein kinase kinase kinase kinase 1	0.962
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Interleukin-1 receptor-associated kinase 4	0.9
Inhibitor of nuclear factor kappa-B kinase subunit alpha	RAC-alpha serine/threonine-protein kinase	0.982
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Transcription factor p65	0.987
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Tumor necrosis factor	0.996
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Inhibitor of nuclear factor kappa-B kinase subunit beta	0.999
Inhibitor of nuclear factor kappa-B kinase subunit beta	NF-kappa-B inhibitor alpha	0.999
Inhibitor of nuclear factor kappa-B kinase subunit beta	Nuclear factor NF-kappa-B p105 subunit	0.988
Inhibitor of nuclear factor kappa-B kinase subunit beta	"Interferon-induced, double-stranded RNA-activated protein kinase"	0.926
Inhibitor of nuclear factor kappa-B kinase subunit beta	Protein kinase C theta type	0.973
Inhibitor of nuclear factor kappa-B kinase subunit beta	eIF-2-alpha kinase GCN2	0.9
Inhibitor of nuclear factor kappa-B kinase subunit beta	Protein kinase C	0.906
Inhibitor of nuclear factor kappa-B kinase subunit beta	Mitogen-activated protein kinase kinase kinase 3	0.918
Inhibitor of nuclear factor kappa-B kinase subunit beta	Interleukin-1 receptor-associated kinase 1	0.744
Inhibitor of nuclear factor kappa-B kinase subunit beta	Proto-oncogene tyrosine-protein kinase Src	0.735
Inhibitor of nuclear factor kappa-B kinase subunit beta	Kelch-like ECH-associated protein 1	0.833
Inhibitor of nuclear factor kappa-B kinase subunit beta	Mitogen-activated protein kinase kinase kinase kinase 1	0.962
Inhibitor of nuclear factor kappa-B kinase subunit beta	Transcription factor p65	0.987
Inhibitor of nuclear factor kappa-B kinase subunit beta	Tumor necrosis factor	0.996
Inhibitor of nuclear factor kappa-B kinase subunit beta	RAC-gamma serine/threonine-protein kinase	0.9
Inhibitor of nuclear factor kappa-B kinase subunit beta	Tyrosine-protein kinase BTK	0.9
Inhibitor of nuclear factor kappa-B kinase subunit beta	Interleukin-1 receptor-associated kinase 4	0.9
Inhibitor of nuclear factor kappa-B kinase subunit beta	RAC-alpha serine/threonine-protein kinase	0.976
Inhibitor of nuclear factor kappa-B kinase subunit epsilon	Serine/threonine-protein kinase TBK1	0.999
Inhibitor of nuclear factor kappa-B kinase subunit epsilon	Tumor necrosis factor	0.996
Inosine-5'-monophosphate dehydrogenase 1	Inosine-5'-monophosphate dehydrogenase 2	0.984
"Inositol 1,4,5-trisphosphate receptor"	Protein kinase C gamma type	0.9
"Inositol 1,4,5-trisphosphate receptor"	Presenilin-1	0.903
"Inositol 1,4,5-trisphosphate receptor"	Presenilin-2	0.903
"Inositol 1,4,5-trisphosphate receptor"	cAMP-dependent protein kinase catalytic subunit beta	0.9
"Inositol 1,4,5-trisphosphate receptor"	Protein kinase C beta type	0.9
"Inositol 1,4,5-trisphosphate receptor"	Protein kinase C alpha type	0.9
Insulin receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"	0.905
Insulin receptor	Pro-epidermal growth factor	0.902
Insulin receptor	Protein kinase C beta type	0.9
Insulin receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	0.905
Insulin receptor	Protein kinase C epsilon type	0.904
Insulin receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	0.905
Insulin receptor	Insulin receptor-related protein	0.952
Insulin receptor	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.946
Insulin receptor	Insulin-like growth factor 1 receptor	0.992
Insulin receptor-related protein	Insulin-like growth factor 1 receptor	0.919
Insulin-like growth factor 1 receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"	0.905
Insulin-like growth factor 1 receptor	Pro-epidermal growth factor	0.902
Insulin-like growth factor 1 receptor	cAMP-dependent protein kinase catalytic subunit beta	0.904
Insulin-like growth factor 1 receptor	Proto-oncogene tyrosine-protein kinase Src	0.926
Insulin-like growth factor 1 receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	0.913
Insulin-like growth factor 1 receptor	Tyrosine-protein kinase JAK2	0.926
Insulin-like growth factor 1 receptor	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.979
Insulin-like growth factor 1 receptor	Integrin beta-3	0.901
Insulin-like growth factor 1 receptor	Tyrosine-protein kinase JAK1	0.926
Insulin-like growth factor 1 receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	0.905
Integrin alpha-IIb	Proto-oncogene tyrosine-protein kinase Src	0.903
Integrin alpha-IIb	Integrin beta-3	0.999
Integrin alpha-L	Serine/threonine-protein kinase D1	0.9
Integrin alpha-L	Protein-tyrosine kinase 2-beta	0.9
Integrin alpha-L	Integrin beta-3	0.907
Integrin beta-3	Proto-oncogene tyrosine-protein kinase Src	0.928
Integrin beta-3	Protein kinase C beta type	0.744
"Interferon-induced, double-stranded RNA-activated protein kinase"	Nuclear factor erythroid 2-related factor 2	0.9
Interleukin-1 beta	Nuclear factor NF-kappa-B p105 subunit	0.9
Interleukin-1 beta	Transcription factor p65	0.9
Interleukin-1 receptor-associated kinase 1	Interleukin-1 receptor-associated kinase 3	0.866
Interleukin-1 receptor-associated kinase 1	Interleukin-1 receptor-associated kinase 4	0.986
Interleukin-1 receptor-associated kinase 4	Toll-like receptor 4	0.952
Interleukin-12 subunit alpha	Interleukin-12 subunit beta	0.997
Interleukin-6	Nuclear factor NF-kappa-B p105 subunit	0.9
Interleukin-6	Tyrosine-protein kinase JAK2	0.9
Interleukin-6	Transcription factor p65	0.926
Interleukin-6	Tyrosine-protein kinase JAK1	0.919
Intermediate conductance calcium-activated potassium channel protein 4	Potassium voltage-gated channel subfamily KQT member 1	0.9
Intermediate conductance calcium-activated potassium channel protein 4	Protein kinase C gamma type	0.9
Intermediate conductance calcium-activated potassium channel protein 4	Protein kinase C alpha type	0.9
Intermediate conductance calcium-activated potassium channel protein 4	Protein kinase C beta type	0.9
Interstitial collagenase	Stromelysin-1	0.9
Interstitial collagenase	Matrix metalloproteinase-9	0.9
Inward rectifier potassium channel 2	Potassium voltage-gated channel subfamily KQT member 1	0.9
Inward rectifier potassium channel 2	Potassium voltage-gated channel subfamily KQT member 4	0.9
Inward rectifier potassium channel 2	Potassium voltage-gated channel subfamily KQT member 5	0.9
Inward rectifier potassium channel 2	Potassium voltage-gated channel subfamily KQT member 2	0.9
Inward rectifier potassium channel 2	Potassium voltage-gated channel subfamily KQT member 3	0.9
Inward rectifier potassium channel 2	Inward rectifier potassium channel 4	0.9
Inward rectifier potassium channel 4	Potassium voltage-gated channel subfamily KQT member 1	0.9
Inward rectifier potassium channel 4	Potassium voltage-gated channel subfamily KQT member 4	0.9
Inward rectifier potassium channel 4	Potassium voltage-gated channel subfamily KQT member 5	0.9
Inward rectifier potassium channel 4	Potassium voltage-gated channel subfamily KQT member 3	0.9
Inward rectifier potassium channel 4	Potassium voltage-gated channel subfamily KQT member 2	0.9
Isocitrate dehydrogenase [NADP] cytoplasmic	"Succinate-semialdehyde dehydrogenase, mitochondrial"	0.8
Isocitrate dehydrogenase [NADP] cytoplasmic	Nuclear factor erythroid 2-related factor 2	0.75
Kelch-like ECH-associated protein 1	Nuclear factor erythroid 2-related factor 2	0.999
Kinesin-like protein KIF11	Serine/threonine-protein kinase ATR	0.84
Kinesin-like protein KIF11	Tubulin alpha-1B chain	0.945
LIM domain kinase 1	Serine/threonine-protein kinase PAK 1	0.928
LIM domain kinase 1	Serine/threonine-protein kinase PAK 2	0.935
LIM domain kinase 1	Rho-associated protein kinase 2	0.909
LIM domain kinase 1	Serine/threonine-protein kinase PAK 3	0.903
LIM domain kinase 1	Serine/threonine-protein kinase PAK 5	0.903
LIM domain kinase 1	Rho-associated protein kinase 1	0.909
LIM domain kinase 1	Serine/threonine-protein kinase PAK 6	0.928
LIM domain kinase 1	LIM domain kinase 2	0.959
LIM domain kinase 1	Serine/threonine-protein kinase PAK 4	0.928
LIM domain kinase 2	Serine/threonine-protein kinase PAK 1	0.903
LIM domain kinase 2	Serine/threonine-protein kinase PAK 2	0.903
LIM domain kinase 2	Rho-associated protein kinase 2	0.909
LIM domain kinase 2	Serine/threonine-protein kinase PAK 3	0.903
LIM domain kinase 2	Serine/threonine-protein kinase PAK 5	0.903
LIM domain kinase 2	Serine/threonine-protein kinase PAK 6	0.903
LIM domain kinase 2	Serine/threonine-protein kinase PAK 4	0.903
LIM domain kinase 2	Rho-associated protein kinase 1	0.953
Lactoylglutathione lyase	Monoamine oxidase	0.8
Lanosterol 14-alpha demethylase	Sigma non-opioid intracellular receptor 1	0.954
Leukotriene A-4 hydrolase	Leukotriene C4 synthase	0.9
Lipoprotein lipase	Pancreatic triacylglycerol lipase	0.9
Liver carboxylesterase 1	Myeloperoxidase	0.9
Lysophosphatidic acid receptor 1	Muscarinic acetylcholine receptor	0.9
Lysophosphatidic acid receptor 1	Prothrombin	0.901
Lysophosphatidic acid receptor 1	Muscarinic acetylcholine receptor M2	0.9
Lysosomal alpha-glucosidase	Maltase-glucoamylase	0.9
MAP kinase-activated protein kinase 5	Mitogen-activated protein kinase 13	0.934
MAP kinase-activated protein kinase 5	Mitogen-activated protein kinase 14	0.94
MAP kinase-activated protein kinase 5	Mitogen-activated protein kinase 11	0.934
MAP kinase-activated protein kinase 5	Mitogen-activated protein kinase 4	0.943
MAP kinase-activated protein kinase 5	Myc proto-oncogene protein	0.75
MAP/microtubule affinity-regulating kinase 3	Serine/threonine-protein kinase MARK2	0.781
Macrophage colony-stimulating factor 1 receptor	Vascular endothelial growth factor B	0.7
Macrophage colony-stimulating factor 1 receptor	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.841
Major prion protein	Voltage-dependent L-type calcium channel subunit alpha-1C	0.9
Major prion protein	Voltage-dependent L-type calcium channel subunit alpha-1D	0.9
Major prion protein	Tyrosine-protein kinase Fyn	0.905
Major prion protein	Voltage-dependent L-type calcium channel subunit alpha-1S	0.9
Major prion protein	Proteasome subunit beta type-5	0.729
Major prion protein	Voltage-dependent N-type calcium channel	0.9
Major prion protein	Voltage-dependent L-type calcium channel subunit alpha-1F	0.9
Maltase-glucoamylase	Neutral alpha-glucosidase C	0.9
Mast/stem cell growth factor receptor Kit	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"	0.929
Mast/stem cell growth factor receptor Kit	Signal transducer and activator of transcription 3	0.903
Mast/stem cell growth factor receptor Kit	Pro-epidermal growth factor	0.9
Mast/stem cell growth factor receptor Kit	Tyrosine-protein kinase Tec	0.794
Mast/stem cell growth factor receptor Kit	Vascular endothelial growth factor B	0.7
Mast/stem cell growth factor receptor Kit	Protein kinase C alpha type	0.9
Mast/stem cell growth factor receptor Kit	Tyrosine-protein kinase Lyn	0.794
Mast/stem cell growth factor receptor Kit	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	0.904
Mast/stem cell growth factor receptor Kit	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	0.904
Mast/stem cell growth factor receptor Kit	Signal transducer and activator of transcription 5B	0.929
Mast/stem cell growth factor receptor Kit	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.986
Matrix metalloproteinase-9	Transforming growth factor beta-1 proprotein	0.749
Matrix metalloproteinase-9	Stromelysin-1	0.9
Matrix metalloproteinase-9	Proto-oncogene tyrosine-protein kinase Src	0.9
Megakaryocyte-associated tyrosine-protein kinase	Receptor tyrosine-protein kinase erbB-2	0.815
Megakaryocyte-associated tyrosine-protein kinase	NT-3 growth factor receptor	0.9
Melatonin receptor type 1A	Melatonin receptor type 1B	0.926
Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	Serine/threonine-protein kinase Chk2	0.767
Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	Ribosomal protein S6 kinase alpha-6	0.9
Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	Ribosomal protein S6 kinase alpha-3	0.9
Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	Ribosomal protein S6 kinase alpha-1	0.9
Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	Serine/threonine-protein kinase PLK1	0.962
Metabotropic glutamate receptor 5	Muscarinic acetylcholine receptor M3	0.9
Metabotropic glutamate receptor 5	Muscarinic acetylcholine receptor M5	0.9
Metabotropic glutamate receptor 5	Muscarinic acetylcholine receptor	0.9
Microtubule-associated protein tau	Mitogen-activated protein kinase 1	0.928
Microtubule-associated protein tau	Tubulin beta-1 chain	0.905
Microtubule-associated protein tau	Tubulin alpha-4A chain	0.972
Microtubule-associated protein tau	Mitogen-activated protein kinase 3	0.95
Microtubule-associated protein tau	Tubulin beta-4A chain	0.93
Microtubule-associated protein tau	Tubulin beta-3 chain	0.978
Microtubule-associated protein tau	Tubulin alpha-8 chain	0.927
Microtubule-associated protein tau	Tubulin alpha-1B chain	0.994
Microtubule-associated protein tau	Tubulin beta chain	0.924
Microtubule-associated protein tau	Serine/threonine-protein kinase MARK2	0.779
Microtubule-associated protein tau	RAC-alpha serine/threonine-protein kinase	0.737
Microtubule-associated protein tau	Serine/threonine-protein kinase MARK1	0.794
Microtubule-associated protein tau	Tubulin alpha-1C chain	0.928
Microtubule-associated protein tau	Tubulin beta-4B chain	0.93
Microtubule-associated protein tau	Tubulin beta-2A chain	0.905
Microtubule-associated protein tau	Tubulin alpha-1A chain	0.961
Microtubule-associated protein tau	Tyrosine-protein kinase Fyn	0.874
Mineralocorticoid receptor	Prostaglandin E synthase 3	0.852
Mineralocorticoid receptor	Nuclear receptor coactivator 1	0.942
Misshapen-like kinase 1	TRAF2 and NCK-interacting protein kinase	0.764
Mitogen-activated protein kinase 1	Mitogen-activated protein kinase 13	0.9
Mitogen-activated protein kinase 1	Mitogen-activated protein kinase kinase kinase kinase 1	0.796
Mitogen-activated protein kinase 1	Mitogen-activated protein kinase 11	0.9
Mitogen-activated protein kinase 1	Protein kinase C gamma type	0.902
Mitogen-activated protein kinase 1	Thyroid hormone receptor beta	0.9
Mitogen-activated protein kinase 1	Sphingosine kinase 2	0.901
Mitogen-activated protein kinase 1	Rho-associated protein kinase 2	0.907
Mitogen-activated protein kinase 1	Sphingosine kinase 1	0.901
Mitogen-activated protein kinase 1	Rho-associated protein kinase 1	0.907
Mitogen-activated protein kinase 1	RAC-gamma serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 1	Ribosomal protein S6 kinase alpha-6	0.923
Mitogen-activated protein kinase 1	Protein kinase C beta type	0.906
Mitogen-activated protein kinase 1	Protein kinase C delta type	0.911
Mitogen-activated protein kinase 1	cAMP-dependent protein kinase catalytic subunit beta	0.905
Mitogen-activated protein kinase 1	Protein kinase C alpha type	0.906
Mitogen-activated protein kinase 1	Serine/threonine-protein kinase B-raf	0.889
Mitogen-activated protein kinase 1	Transcription factor Sp1	0.951
Mitogen-activated protein kinase 1	Mitogen-activated protein kinase kinase kinase kinase 3	0.949
Mitogen-activated protein kinase 1	Myc proto-oncogene protein	0.962
Mitogen-activated protein kinase 1	RAC-alpha serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 1	Ribosomal protein S6 kinase alpha-3	0.986
Mitogen-activated protein kinase 1	Mitogen-activated protein kinase 3	0.986
Mitogen-activated protein kinase 1	Mitogen-activated protein kinase 14	0.98
Mitogen-activated protein kinase 1	Signal transducer and activator of transcription 3	0.926
Mitogen-activated protein kinase 1	Ribosomal protein S6 kinase alpha-1	0.998
Mitogen-activated protein kinase 11	Mitogen-activated protein kinase 3	0.9
Mitogen-activated protein kinase 11	cGMP-dependent protein kinase 2	0.903
Mitogen-activated protein kinase 11	Tyrosine-protein kinase ZAP-70	0.907
Mitogen-activated protein kinase 11	Progesterone receptor	0.9
Mitogen-activated protein kinase 11	Transcription factor Sp1	0.93
Mitogen-activated protein kinase 11	Mitogen-activated protein kinase 9	0.9
Mitogen-activated protein kinase 11	Mitogen-activated protein kinase 8	0.9
Mitogen-activated protein kinase 11	RAC-gamma serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 11	Mitogen-activated protein kinase kinase kinase 5	0.903
Mitogen-activated protein kinase 11	Mitogen-activated protein kinase kinase kinase kinase 4	0.9
Mitogen-activated protein kinase 11	RAC-alpha serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 11	Mitogen-activated protein kinase kinase kinase kinase 3	0.96
Mitogen-activated protein kinase 13	Progesterone receptor	0.9
Mitogen-activated protein kinase 13	Mitogen-activated protein kinase 8	0.9
Mitogen-activated protein kinase 13	cGMP-dependent protein kinase 2	0.903
Mitogen-activated protein kinase 13	Transcription factor Sp1	0.906
Mitogen-activated protein kinase 13	Tyrosine-protein kinase ZAP-70	0.907
Mitogen-activated protein kinase 13	RAC-gamma serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 13	Mitogen-activated protein kinase kinase kinase 5	0.903
Mitogen-activated protein kinase 13	Mitogen-activated protein kinase kinase kinase kinase 4	0.9
Mitogen-activated protein kinase 13	RAC-alpha serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 13	Mitogen-activated protein kinase 9	0.9
Mitogen-activated protein kinase 13	Mitogen-activated protein kinase 3	0.9
Mitogen-activated protein kinase 13	Mitogen-activated protein kinase kinase kinase kinase 3	0.949
Mitogen-activated protein kinase 14	Tyrosine-protein kinase Fgr	0.767
Mitogen-activated protein kinase 14	cGMP-dependent protein kinase 2	0.903
Mitogen-activated protein kinase 14	Progesterone receptor	0.9
Mitogen-activated protein kinase 14	RAC-gamma serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 14	Mitogen-activated protein kinase kinase kinase 5	0.903
Mitogen-activated protein kinase 14	Mitogen-activated protein kinase 9	0.9
Mitogen-activated protein kinase 14	Transcription factor Sp1	0.93
Mitogen-activated protein kinase 14	Tyrosine-protein kinase ZAP-70	0.907
Mitogen-activated protein kinase 14	Mitogen-activated protein kinase 8	0.926
Mitogen-activated protein kinase 14	Mitogen-activated protein kinase kinase kinase kinase 4	0.948
Mitogen-activated protein kinase 14	Mitogen-activated protein kinase 3	0.977
Mitogen-activated protein kinase 14	RAC-alpha serine/threonine-protein kinase	0.972
Mitogen-activated protein kinase 14	Mitogen-activated protein kinase kinase kinase kinase 3	0.994
Mitogen-activated protein kinase 3	Ribosomal protein S6 kinase alpha-6	0.922
Mitogen-activated protein kinase 3	Mitogen-activated protein kinase kinase kinase kinase 1	0.752
Mitogen-activated protein kinase 3	Tyrosine-protein kinase Lyn	0.762
Mitogen-activated protein kinase 3	Protein kinase C gamma type	0.902
Mitogen-activated protein kinase 3	Thyroid hormone receptor beta	0.9
Mitogen-activated protein kinase 3	Rho-associated protein kinase 2	0.907
Mitogen-activated protein kinase 3	Rho-associated protein kinase 1	0.907
Mitogen-activated protein kinase 3	RAC-gamma serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 3	Protein kinase C delta type	0.911
Mitogen-activated protein kinase 3	Proto-oncogene tyrosine-protein kinase Src	0.745
Mitogen-activated protein kinase 3	Sphingosine kinase 2	0.901
Mitogen-activated protein kinase 3	Protein kinase C beta type	0.906
Mitogen-activated protein kinase 3	Sphingosine kinase 1	0.901
Mitogen-activated protein kinase 3	Protein kinase C alpha type	0.906
Mitogen-activated protein kinase 3	RAC-alpha serine/threonine-protein kinase	0.907
Mitogen-activated protein kinase 3	cAMP-dependent protein kinase catalytic subunit beta	0.905
Mitogen-activated protein kinase 3	Serine/threonine-protein kinase B-raf	0.891
Mitogen-activated protein kinase 3	Transcription factor Sp1	0.951
Mitogen-activated protein kinase 3	Mitogen-activated protein kinase kinase kinase kinase 3	0.958
Mitogen-activated protein kinase 3	Ribosomal protein S6 kinase alpha-3	0.979
Mitogen-activated protein kinase 3	Myc proto-oncogene protein	0.926
Mitogen-activated protein kinase 3	Ribosomal protein S6 kinase alpha-1	0.977
Mitogen-activated protein kinase 7	Ribosomal protein S6 kinase alpha-6	0.905
Mitogen-activated protein kinase 7	Ribosomal protein S6 kinase alpha-1	0.905
Mitogen-activated protein kinase 7	Nuclear factor erythroid 2-related factor 2	0.93
Mitogen-activated protein kinase 7	Ribosomal protein S6 kinase alpha-3	0.905
Mitogen-activated protein kinase 8	Nuclear factor NF-kappa-B p105 subunit	0.903
Mitogen-activated protein kinase 8	Protein kinase C theta type	0.905
Mitogen-activated protein kinase 8	Transcription factor Jun	0.954
Mitogen-activated protein kinase 8	Protein kinase C epsilon type	0.905
Mitogen-activated protein kinase 8	Progesterone receptor	0.9
Mitogen-activated protein kinase 8	Transcription factor Sp1	0.949
Mitogen-activated protein kinase 8	Protein kinase C delta type	0.905
Mitogen-activated protein kinase 8	Mitogen-activated protein kinase kinase kinase kinase 3	0.903
Mitogen-activated protein kinase 8	Ras-related C3 botulinum toxin substrate 1	0.835
Mitogen-activated protein kinase 8	Mitogen-activated protein kinase kinase kinase 5	0.9
Mitogen-activated protein kinase 8	Proto-oncogene tyrosine-protein kinase Src	0.905
Mitogen-activated protein kinase 8	Transcription factor p65	0.9
Mitogen-activated protein kinase 8	Mitogen-activated protein kinase kinase kinase kinase 1	0.982
Mitogen-activated protein kinase 8	Mitogen-activated protein kinase kinase kinase kinase 4	0.999
Mitogen-activated protein kinase 8	Mitogen-activated protein kinase 9	0.999
Mitogen-activated protein kinase 9	Nuclear factor NF-kappa-B p105 subunit	0.903
Mitogen-activated protein kinase 9	Protein kinase C theta type	0.905
Mitogen-activated protein kinase 9	Transcription factor Jun	0.968
Mitogen-activated protein kinase 9	Protein kinase C epsilon type	0.905
Mitogen-activated protein kinase 9	Progesterone receptor	0.9
Mitogen-activated protein kinase 9	Transcription factor Sp1	0.901
Mitogen-activated protein kinase 9	Protein kinase C delta type	0.905
Mitogen-activated protein kinase 9	Mitogen-activated protein kinase kinase kinase kinase 3	0.903
Mitogen-activated protein kinase 9	Mitogen-activated protein kinase kinase kinase 5	0.9
Mitogen-activated protein kinase 9	Proto-oncogene tyrosine-protein kinase Src	0.905
Mitogen-activated protein kinase 9	Mitogen-activated protein kinase kinase kinase kinase 1	0.947
Mitogen-activated protein kinase 9	Transcription factor p65	0.9
Mitogen-activated protein kinase 9	Mitogen-activated protein kinase kinase kinase kinase 4	0.999
Mitogen-activated protein kinase kinase kinase 2	Serine/threonine-protein kinase PAK 1	0.914
Mitogen-activated protein kinase kinase kinase 2	Serine/threonine-protein kinase PAK 2	0.914
Mitogen-activated protein kinase kinase kinase 2	Mitogen-activated protein kinase kinase kinase kinase 3	0.926
Mitogen-activated protein kinase kinase kinase 2	Mitogen-activated protein kinase kinase kinase 3	0.95
Mitogen-activated protein kinase kinase kinase 2	Proto-oncogene tyrosine-protein kinase Src	0.903
Mitogen-activated protein kinase kinase kinase 3	Serine/threonine-protein kinase PAK 1	0.914
Mitogen-activated protein kinase kinase kinase 3	Serine/threonine-protein kinase PAK 2	0.914
Mitogen-activated protein kinase kinase kinase 3	Mitogen-activated protein kinase kinase kinase kinase 3	0.926
Mitogen-activated protein kinase kinase kinase 4	Mitogen-activated protein kinase kinase kinase kinase 3	0.976
Mitogen-activated protein kinase kinase kinase 5	Mitogen-activated protein kinase kinase kinase kinase 3	0.972
Mitogen-activated protein kinase kinase kinase 5	cAMP-dependent protein kinase catalytic subunit beta	0.9
Mitogen-activated protein kinase kinase kinase 5	RAC-gamma serine/threonine-protein kinase	0.903
Mitogen-activated protein kinase kinase kinase 5	RAC-alpha serine/threonine-protein kinase	0.928
Mitogen-activated protein kinase kinase kinase 5	Mitogen-activated protein kinase kinase kinase kinase 4	0.978
Mitogen-activated protein kinase kinase kinase 5	Thioredoxin	0.991
Mitogen-activated protein kinase kinase kinase 6	Mitogen-activated protein kinase kinase kinase kinase 3	0.912
Mitogen-activated protein kinase kinase kinase kinase 1	Serine/threonine-protein kinase PAK 1	0.842
Mitogen-activated protein kinase kinase kinase kinase 1	Serine/threonine-protein kinase PAK 2	0.786
Mitogen-activated protein kinase kinase kinase kinase 1	Mitogen-activated protein kinase kinase kinase kinase 3	0.9
Mitogen-activated protein kinase kinase kinase kinase 1	Mitogen-activated protein kinase kinase kinase kinase 4	0.985
Mitogen-activated protein kinase kinase kinase kinase 3	Serine/threonine-protein kinase TAO1	0.9
Mitogen-activated protein kinase kinase kinase kinase 3	Serine/threonine-protein kinase TAO2	0.966
Mitogen-activated protein kinase kinase kinase kinase 3	Serine/threonine-protein kinase TAO3	0.9
Mitogen-activated protein kinase kinase kinase kinase 3	Mitogen-activated protein kinase kinase kinase kinase 4	0.9
Mitogen-activated protein kinase kinase kinase kinase 4	Protein kinase C alpha type	0.9
Mitogen-activated protein kinase kinase kinase kinase 4	RAC-gamma serine/threonine-protein kinase	0.906
Mitogen-activated protein kinase kinase kinase kinase 4	RAC-alpha serine/threonine-protein kinase	0.952
Monoamine oxidase	Serotonin N-acetyltransferase	0.9
Mu-type opioid receptor	Pro-opiomelanocortin	0.99
Muscarinic acetylcholine receptor	Muscarinic acetylcholine receptor M3	0.9
Muscarinic acetylcholine receptor	Muscarinic acetylcholine receptor M5	0.9
Muscarinic acetylcholine receptor	Muscarinic acetylcholine receptor M2	0.9
Muscarinic acetylcholine receptor M3	Muscarinic acetylcholine receptor M5	0.929
Myc proto-oncogene protein	Signal transducer and activator of transcription 3	0.898
Myc proto-oncogene protein	Transcription factor Sp1	0.785
Myc proto-oncogene protein	Nuclear factor erythroid 2-related factor 2	0.877
Myosin light chain kinase 3	Protein kinase C epsilon type	0.9
Myosin light chain kinase 3	cAMP-dependent protein kinase catalytic subunit beta	0.9
Myosin light chain kinase family member 4	Protein kinase C epsilon type	0.9
Myosin light chain kinase family member 4	cAMP-dependent protein kinase catalytic subunit beta	0.9
"Myosin light chain kinase, smooth muscle"	Serine/threonine-protein kinase PAK 1	0.815
"Myosin light chain kinase, smooth muscle"	Protein kinase C epsilon type	0.9
"Myosin light chain kinase, smooth muscle"	Serine/threonine-protein kinase PAK 2	0.75
"Myosin light chain kinase, smooth muscle"	cAMP-dependent protein kinase catalytic subunit beta	0.902
Myosin-7	"Myosin-binding protein C, cardiac-type"	0.946
Myosin-IIIa	Peripheral plasma membrane protein CASK	0.804
NAD(P)H dehydrogenase [quinone] 1	Ornithine decarboxylase	0.9
NAD(P)H dehydrogenase [quinone] 1	Vitamin K epoxide reductase complex subunit 1	0.9
NAD-dependent protein deacetylase sirtuin-1	Purine nucleoside phosphorylase	0.9
NAD-dependent protein deacetylase sirtuin-1	Nuclear factor NF-kappa-B p105 subunit	0.93
NAD-dependent protein deacetylase sirtuin-1	Transcription factor p65	0.963
NAD-dependent protein deacetylase sirtuin-1	Peroxisome proliferator-activated receptor gamma	0.931
"NAD-dependent protein deacylase sirtuin-5, mitochondrial"	Purine nucleoside phosphorylase	0.9
NF-kappa-B inhibitor alpha	cAMP-dependent protein kinase catalytic subunit beta	0.9
NF-kappa-B inhibitor alpha	Nuclear factor NF-kappa-B p100 subunit	0.985
NF-kappa-B inhibitor alpha	Transcription factor RelB	0.861
NF-kappa-B inhibitor alpha	Proto-oncogene c-Rel	0.952
