Drug1,Drug2,Cell_line,classification
Etoposide,Vemurafenib,T47D_BREAST,antagonism
Vandetanib,Tioguanine,NCIH226_LUNG,antagonism
Everolimus,Busulfan,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Vemurafenib,Busulfan,ACHN_KIDNEY,antagonism
Dacarbazine,Crizotinib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vandetanib,Methotrexate,DU145_PROSTATE,antagonism
Lomustine,Ifosfamide,CAKI1_KIDNEY,antagonism
Niraparib,Dasatinib,EFM192A_BREAST,antagonism
ThioTEPA,Decitabine,MCF7_BREAST,antagonism
Cabazitaxel,Lenalidomide,SW620_LARGE_INTESTINE,antagonism
ThioTEPA,Tretinoin,HCT15_LARGE_INTESTINE,antagonism
Vismodegib,Busulfan,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Mitotane,Busulfan,A498_KIDNEY,antagonism
Chlorambucil,Tioguanine,MCF7_BREAST,antagonism
Gefitinib,Dexrazoxane,MALME3M_SKIN,antagonism
Vismodegib,Lomustine,KM12_LARGE_INTESTINE,antagonism
Everolimus,Decitabine,ACHN_KIDNEY,antagonism
ThioTEPA,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Teniposide,UACC62_SKIN,antagonism
Cabazitaxel,Teniposide,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Paclitaxel,OVCAR4_OVARY,antagonism
Dexrazoxane,Dasatinib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vandetanib,Pentostatin,UO31_KIDNEY,antagonism
Cabazitaxel,Pipobroman,LOXIMVI_SKIN,antagonism
Gemcitabine,Sorafenib,KPL1_BREAST,antagonism
Vandetanib,Hydroxyurea,UO31_KIDNEY,antagonism
Decitabine,Bortezomib,HCT15_LARGE_INTESTINE,antagonism
Chlorambucil,Allopurinol,KM12_LARGE_INTESTINE,antagonism
Dexrazoxane,Pipobroman,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Methoxsalen,HCT15_LARGE_INTESTINE,antagonism
Lenalidomide,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Valrubicin,Methotrexate,OVCAR8_OVARY,antagonism
Vandetanib,Teniposide,UO31_KIDNEY,antagonism
Lomustine,Crizotinib,NCIH23_LUNG,antagonism
Teniposide,Fluorouracil,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Imiquimod,T47D_BREAST,antagonism
Fluorouracil,Decitabine,MDAMB468_BREAST,antagonism
Ridaforolimus,Topotecan,MDAMB436_BREAST,antagonism
Teniposide,Valrubicin,MALME3M_SKIN,antagonism
Dasatinib,Busulfan,NCIH460_LUNG,antagonism
Teniposide,Vemurafenib,HT29_LARGE_INTESTINE,antagonism
Everolimus,Methoxsalen,HT29_LARGE_INTESTINE,antagonism
Chlorambucil,ThioTEPA,T47D_BREAST,antagonism
Fluorouracil,ThioTEPA,KM12_LARGE_INTESTINE,antagonism
Fluorouracil,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Imatinib,Busulfan,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Imiquimod,Ixabepilone,UO31_KIDNEY,antagonism
Pemetrexed,5-Azacitidine,CAKI1_KIDNEY,antagonism
Vandetanib,Letrozole,EKVX_LUNG,antagonism
Pipobroman,Bortezomib,NCIH23_LUNG,antagonism
Vismodegib,ThioTEPA,OVCAR8_OVARY,antagonism
PD-0325901,Topotecan,A375_SKIN,antagonism
Cabazitaxel,Pemetrexed,NCIH226_LUNG,antagonism
Dexrazoxane,Imiquimod,HCT15_LARGE_INTESTINE,antagonism
Fluorouracil,Valrubicin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Lenalidomide,Methotrexate,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Ixabepilone,NCIH2122_LUNG,antagonism
Vandetanib,Teniposide,MALME3M_SKIN,antagonism
Pemetrexed,Everolimus,UACC62_SKIN,antagonism
Dexrazoxane,Mitotane,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Chlorambucil,HOP62_LUNG,antagonism
Tioguanine,Dasatinib,MDAMB231_BREAST,antagonism
Dexrazoxane,Ixabepilone,DU145_PROSTATE,antagonism
Lomustine,Tretinoin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pentostatin,Carmustine,SKMEL5_SKIN,antagonism
Cabazitaxel,Busulfan,IGROV1_OVARY,antagonism
Etoposide,Teniposide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Mitotane,Imiquimod,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Lomustine,Pentostatin,PC3_PROSTATE,antagonism
Abiraterone,Altretamine,LOXIMVI_SKIN,antagonism
Chlorambucil,Vemurafenib,BT549_BREAST,antagonism
Fluorouracil,Methotrexate,OVCAR4_OVARY,antagonism
Lenalidomide,Gefitinib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
ThioTEPA,5-Azacitidine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Temozolomide,5-Azacitidine,UO31_KIDNEY,antagonism
Cabazitaxel,Dacarbazine,ACHN_KIDNEY,antagonism
Vemurafenib,Pipobroman,MDAMB468_BREAST,antagonism
Pemetrexed,Pipobroman,A549_LUNG,antagonism
Sorafenib,Thalidomide,DU145_PROSTATE,antagonism
Tioguanine,Thalidomide,IGROV1_OVARY,antagonism
Tioguanine,Letrozole,HOP92_LUNG,antagonism
Everolimus,Pentostatin,SKMEL5_SKIN,antagonism
Pipobroman,Busulfan,NCIH522_LUNG,antagonism
Teniposide,Crizotinib,NCIH522_LUNG,antagonism
Imatinib,Imiquimod,HOP92_LUNG,antagonism
Vandetanib,ThioTEPA,UACC62_SKIN,antagonism
Pralatrexate,AZD-8055,TC71_BONE,antagonism
Lenalidomide,Tretinoin,HOP92_LUNG,antagonism
Tretinoin,Pipobroman,MCF7_BREAST,antagonism
Fluorouracil,Letrozole,KM12_LARGE_INTESTINE,antagonism
Lomustine,Valrubicin,ACHN_KIDNEY,antagonism
Teniposide,Mitotane,A498_KIDNEY,antagonism
Temozolomide,Dasatinib,A375_SKIN,antagonism
Tioguanine,Bortezomib,HOP92_LUNG,antagonism
Dexrazoxane,Tioguanine,SW620_LARGE_INTESTINE,antagonism
Tioguanine,ThioTEPA,A549_LUNG,antagonism
Etoposide,Methoxsalen,HT29_LARGE_INTESTINE,antagonism
Chlorambucil,Methotrexate,PC3_PROSTATE,antagonism
Axitinib,Chlorambucil,KM12_LARGE_INTESTINE,antagonism
Dacarbazine,Sorafenib,A498_KIDNEY,antagonism
Vandetanib,ThioTEPA,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vandetanib,Pipobroman,DU145_PROSTATE,antagonism
Dasatinib,Busulfan,SW620_LARGE_INTESTINE,antagonism
Pemetrexed,Teniposide,PC3_PROSTATE,antagonism
Methotrexate,Imatinib,OVCAR8_OVARY,antagonism
Dexrazoxane,Fulvestrant,HCT15_LARGE_INTESTINE,antagonism
Dexrazoxane,Paclitaxel,HS578T_BREAST,antagonism
Cabazitaxel,Tioguanine,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Hydroxyurea,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Imiquimod,UACC62_SKIN,antagonism
Lenalidomide,Paclitaxel,KM12_LARGE_INTESTINE,antagonism
Vismodegib,Lenalidomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fluorouracil,Tretinoin,OVCAR8_OVARY,antagonism
Methoxsalen,Pentostatin,SKMEL5_SKIN,antagonism
Dexrazoxane,Paclitaxel,MALME3M_SKIN,antagonism
Chlorambucil,Carmustine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Paclitaxel,KM12_LARGE_INTESTINE,antagonism
Paclitaxel,Decitabine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Everolimus,HS578T_BREAST,antagonism
Etoposide,Fulvestrant,PC3_PROSTATE,antagonism
Gefitinib,Bortezomib,HOP92_LUNG,antagonism
Teniposide,Mitotane,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Vandetanib,Pentostatin,SKOV3_OVARY,antagonism
Cabazitaxel,Chlorambucil,EKVX_LUNG,antagonism
Methotrexate,PD-0325901,ZR751_BREAST,antagonism
Vandetanib,Methotrexate,HOP92_LUNG,antagonism
Lomustine,Tioguanine,IGROV1_OVARY,antagonism
Dasatinib,Ifosfamide,CAKI1_KIDNEY,antagonism
Chlorambucil,Pentostatin,UO31_KIDNEY,antagonism
Fluorouracil,Crizotinib,BT549_BREAST,antagonism
Valrubicin,Fulvestrant,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Dacarbazine,Everolimus,LOXIMVI_SKIN,antagonism
Fluorouracil,Ifosfamide,UACC62_SKIN,antagonism
Dexrazoxane,ThioTEPA,HOP62_LUNG,antagonism
Lomustine,Temozolomide,NCIH460_LUNG,antagonism
Vandetanib,Crizotinib,UO31_KIDNEY,antagonism
5-Azacitidine,Ifosfamide,DU145_PROSTATE,antagonism
Gefitinib,Tioguanine,DU145_PROSTATE,antagonism
Tioguanine,Everolimus,MCF7_BREAST,antagonism
Lomustine,5-Azacitidine,NCIH23_LUNG,antagonism
Paclitaxel,PD-0325901,UACC62_SKIN,antagonism
Gefitinib,Dacarbazine,UACC62_SKIN,antagonism
Lomustine,Busulfan,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,antagonism
Cabazitaxel,Dexrazoxane,NCIH2122_LUNG,antagonism
Chlorambucil,Methoxsalen,A498_KIDNEY,antagonism
Abiraterone,Tretinoin,CAKI1_KIDNEY,antagonism
Teniposide,Chlorambucil,DU145_PROSTATE,antagonism
Axitinib,Sorafenib,A498_KIDNEY,antagonism
Dexrazoxane,Pipobroman,IGROV1_OVARY,antagonism
Axitinib,Teniposide,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Cabazitaxel,PC3_PROSTATE,antagonism
Decitabine,Carmustine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vismodegib,Sorafenib,NCIH522_LUNG,antagonism
Axitinib,Sorafenib,PC3_PROSTATE,antagonism
Vandetanib,Tioguanine,CAKI1_KIDNEY,antagonism
Pemetrexed,Ifosfamide,UO31_KIDNEY,antagonism
Thalidomide,Carmustine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Romidepsin,Danusertib,TC71_BONE,antagonism
Chlorambucil,Crizotinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vandetanib,Teniposide,PC3_PROSTATE,antagonism
Dasatinib,Pipobroman,HOP92_LUNG,antagonism
Pipobroman,Thalidomide,MDAMB435S_SKIN,antagonism
Valrubicin,5-Azacitidine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Dasatinib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Paclitaxel,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Etoposide,OVCAR4_OVARY,antagonism
Lomustine,Tioguanine,UACC62_SKIN,antagonism
Everolimus,Allopurinol,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Imatinib,Pipobroman,SKMEL5_SKIN,antagonism
Gefitinib,Lomustine,NCIH460_LUNG,antagonism
Dexrazoxane,Fulvestrant,UACC62_SKIN,antagonism
Chlorambucil,Tretinoin,BT549_BREAST,antagonism
Pemetrexed,Teniposide,HT29_LARGE_INTESTINE,antagonism
Etoposide,Paclitaxel,PC3_PROSTATE,antagonism
MK-2206,PD-0325901,MDAMB436_BREAST,antagonism
Paclitaxel,Decitabine,OVCAR8_OVARY,antagonism
Chlorambucil,Tioguanine,HOP92_LUNG,antagonism
Abiraterone,Fluorouracil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dasatinib,Ridaforolimus,LNCAPCLONEFGC_PROSTATE,antagonism
Tioguanine,Paclitaxel,CAKI1_KIDNEY,antagonism
Abiraterone,Anastrozole,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Chlorambucil,EKVX_LUNG,antagonism
Lomustine,Tretinoin,IGROV1_OVARY,antagonism
Methotrexate,Ixabepilone,OVCAR4_OVARY,antagonism
Dexrazoxane,Tioguanine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Chlorambucil,HCT116_LARGE_INTESTINE,antagonism
Erlotinib,PD-0325901,NCIH460_LUNG,antagonism
Vandetanib,Everolimus,NCIH460_LUNG,antagonism
Decitabine,Ixabepilone,HOP92_LUNG,antagonism
Tretinoin,Bortezomib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Paclitaxel,UACC257_SKIN,antagonism
Pemetrexed,Ifosfamide,OVCAR8_OVARY,antagonism
Pemetrexed,Chlorambucil,A498_KIDNEY,antagonism
Gefitinib,Chlorambucil,BT549_BREAST,antagonism
Dexrazoxane,Teniposide,UO31_KIDNEY,antagonism
Abiraterone,Chlorambucil,UACC62_SKIN,antagonism
Etoposide,Methotrexate,MALME3M_SKIN,antagonism
Pipobroman,Imiquimod,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Fluorouracil,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Lenalidomide,Chlorambucil,NCIH23_LUNG,antagonism
Axitinib,Lomustine,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Dasatinib,OVCAR4_OVARY,antagonism
Vandetanib,Methoxsalen,CAKI1_KIDNEY,antagonism
Teniposide,Ifosfamide,A549_LUNG,antagonism
Fluorouracil,Carmustine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Hydroxyurea,KM12_LARGE_INTESTINE,antagonism
Etoposide,Chlorambucil,MCF7_BREAST,antagonism
Methotrexate,Methoxsalen,HCT15_LARGE_INTESTINE,antagonism
ThioTEPA,Bortezomib,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Vemurafenib,NCIH23_LUNG,antagonism
Vandetanib,Tretinoin,CAKI1_KIDNEY,antagonism
5-Azacitidine,Dasatinib,IGROV1_OVARY,antagonism
Valrubicin,Imiquimod,NCIH226_LUNG,antagonism
Pipobroman,Decitabine,PC3_PROSTATE,antagonism
Paclitaxel,Ixabepilone,IGROV1_OVARY,antagonism
Teniposide,Paclitaxel,MDAMB231_BREAST,antagonism
Gefitinib,Fluorouracil,NCIH23_LUNG,antagonism
Chlorambucil,Imatinib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,ThioTEPA,HOP62_LUNG,antagonism
Paclitaxel,BEZ-235,SF268_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Crizotinib,NCIH226_LUNG,antagonism
Lomustine,Everolimus,HOP62_LUNG,antagonism
Chlorambucil,Bortezomib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Allopurinol,UACC62_SKIN,antagonism
Tioguanine,Busulfan,HOP92_LUNG,antagonism
Chlorambucil,Ixabepilone,HOP92_LUNG,antagonism
Dexrazoxane,5-Azacitidine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vismodegib,Vandetanib,SKOV3_OVARY,antagonism
Chlorambucil,Everolimus,HS578T_BREAST,antagonism
Dexrazoxane,Ixabepilone,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Altretamine,NCIH522_LUNG,antagonism
Chlorambucil,Hydroxyurea,T47D_BREAST,antagonism
ThioTEPA,Decitabine,A498_KIDNEY,antagonism
Chlorambucil,Sorafenib,MALME3M_SKIN,antagonism
Fulvestrant,5-Azacitidine,UO31_KIDNEY,antagonism
Gemcitabine,Temozolomide,COLO320_LARGE_INTESTINE,antagonism
Fluorouracil,Valrubicin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Teniposide,Pipobroman,SKMEL28_SKIN,antagonism
Vismodegib,Pemetrexed,MDAMB231_BREAST,antagonism
Lomustine,Temozolomide,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Pemetrexed,IGROV1_OVARY,antagonism
Methoxsalen,Decitabine,HCT15_LARGE_INTESTINE,antagonism
Pemetrexed,Lomustine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Vismodegib,Busulfan,CAKI1_KIDNEY,antagonism
Dexamethasone,Temozolomide,KPL1_BREAST,antagonism
5-Azacitidine,Methoxsalen,IGROV1_OVARY,antagonism
Etoposide,Fluorouracil,SKMEL5_SKIN,antagonism
Chlorambucil,Pentostatin,HOP92_LUNG,antagonism
Paclitaxel,Ixabepilone,MDAMB231_BREAST,antagonism
Dexrazoxane,Busulfan,HT29_LARGE_INTESTINE,antagonism
Valrubicin,Ifosfamide,HCT15_LARGE_INTESTINE,antagonism
Paclitaxel,Valrubicin,T47D_BREAST,antagonism
Gefitinib,Lomustine,NCIH23_LUNG,antagonism
Cabazitaxel,Methoxsalen,MDAMB231_BREAST,antagonism
Valrubicin,Pipobroman,NCIH460_LUNG,antagonism
Etoposide,Methotrexate,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Abiraterone,Sorafenib,T47D_BREAST,antagonism
Imatinib,Pipobroman,786O_KIDNEY,antagonism
Axitinib,Pemetrexed,A498_KIDNEY,antagonism
Gefitinib,Anastrozole,HOP62_LUNG,antagonism
Methotrexate,BEZ-235,VCAP_PROSTATE,antagonism
Lomustine,Fulvestrant,HOP62_LUNG,antagonism
Dacarbazine,Fluorouracil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Fluorouracil,OVCAR8_OVARY,antagonism
ThioTEPA,Thalidomide,A549_LUNG,antagonism
Fluorouracil,Methoxsalen,BT549_BREAST,antagonism
Pemetrexed,Crizotinib,IGROV1_OVARY,antagonism
Lenalidomide,Paclitaxel,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Cabazitaxel,Teniposide,MCF7_BREAST,antagonism
ThioTEPA,Paclitaxel,NCIH226_LUNG,antagonism
Gefitinib,Pipobroman,DU145_PROSTATE,antagonism
Tioguanine,ThioTEPA,HCT116_LARGE_INTESTINE,antagonism
Fluorouracil,Valrubicin,NCIH23_LUNG,antagonism
Dexrazoxane,ThioTEPA,NCIH23_LUNG,antagonism
ThioTEPA,Fulvestrant,HT29_LARGE_INTESTINE,antagonism
Sorafenib,Pipobroman,MDAMB231_BREAST,antagonism
Vemurafenib,Pipobroman,IGROV1_OVARY,antagonism
Niraparib,Ridaforolimus,NCIH520_LUNG,antagonism
Axitinib,Everolimus,MCF7_BREAST,antagonism
Vemurafenib,Pipobroman,NCIH23_LUNG,antagonism
Crizotinib,Everolimus,MCF7_BREAST,antagonism
Gefitinib,Thalidomide,BT549_BREAST,antagonism
Fluorouracil,Sorafenib,HOP92_LUNG,antagonism
Lomustine,Decitabine,UO31_KIDNEY,antagonism
Vandetanib,Methotrexate,NCIH522_LUNG,antagonism
Thalidomide,Carmustine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Hydroxyurea,KM12_LARGE_INTESTINE,antagonism
ThioTEPA,Decitabine,SW620_LARGE_INTESTINE,antagonism
Gefitinib,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Dacarbazine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
ThioTEPA,Imiquimod,PC3_PROSTATE,antagonism
Dexrazoxane,Imiquimod,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Teniposide,Vemurafenib,UACC62_SKIN,antagonism
Chlorambucil,ThioTEPA,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Ixabepilone,MDAMB468_BREAST,antagonism
Pipobroman,Ifosfamide,A549_LUNG,antagonism
Cabazitaxel,Teniposide,EKVX_LUNG,antagonism
Fluorouracil,Erlotinib,HT144_SKIN,antagonism
Tioguanine,Ixabepilone,EKVX_LUNG,antagonism
Tioguanine,Paclitaxel,SW620_LARGE_INTESTINE,antagonism
Vandetanib,Sorafenib,HOP92_LUNG,antagonism
Pemetrexed,Tioguanine,A549_LUNG,antagonism
Etoposide,ThioTEPA,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Etoposide,Tioguanine,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Teniposide,Sorafenib,KM12_LARGE_INTESTINE,antagonism
Etoposide,Paclitaxel,NCIH522_LUNG,antagonism
Chlorambucil,Sorafenib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
ThioTEPA,Imiquimod,HCT15_LARGE_INTESTINE,antagonism
Valrubicin,Pipobroman,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Fulvestrant,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Methotrexate,HOP92_LUNG,antagonism
Valrubicin,Methotrexate,SW620_LARGE_INTESTINE,antagonism
Etoposide,Allopurinol,HOP92_LUNG,antagonism
Tioguanine,Fulvestrant,PC3_PROSTATE,antagonism
Etoposide,Ixabepilone,NCIH522_LUNG,antagonism
Crizotinib,Everolimus,DU145_PROSTATE,antagonism
Etoposide,Tioguanine,T47D_BREAST,antagonism
Cabazitaxel,Allopurinol,OVCAR4_OVARY,antagonism
Altretamine,Tioguanine,T47D_BREAST,antagonism
Lomustine,Methoxsalen,UACC62_SKIN,antagonism
Etoposide,Tioguanine,UACC62_SKIN,antagonism
Tretinoin,5-Azacitidine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Cabazitaxel,Crizotinib,NCIH522_LUNG,antagonism
Axitinib,Pipobroman,NCIH23_LUNG,antagonism
Gefitinib,Bortezomib,EKVX_LUNG,antagonism
Axitinib,Teniposide,MALME3M_SKIN,antagonism
5-Azacitidine,Methoxsalen,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Everolimus,NCIH2122_LUNG,antagonism
Lenalidomide,Hydroxyurea,CAKI1_KIDNEY,antagonism
Fluorouracil,Bortezomib,VCAP_PROSTATE,antagonism
Chlorambucil,ThioTEPA,HT29_LARGE_INTESTINE,antagonism
Pemetrexed,Paclitaxel,LOXIMVI_SKIN,antagonism
Everolimus,Pipobroman,HCT15_LARGE_INTESTINE,antagonism
Vismodegib,Fluorouracil,OVCAR4_OVARY,antagonism
ThioTEPA,Pentostatin,CAKI1_KIDNEY,antagonism
Lenalidomide,Chlorambucil,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Valrubicin,UACC62_SKIN,antagonism
Temozolomide,Carmustine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Valrubicin,UO31_KIDNEY,antagonism
Fluorouracil,Pentostatin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Ifosfamide,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Anastrozole,BT549_BREAST,antagonism
Dasatinib,Sorafenib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Etoposide,Tretinoin,MCF7_BREAST,antagonism
Crizotinib,Tretinoin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Dexrazoxane,NCIH23_LUNG,antagonism
Lenalidomide,Chlorambucil,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Dacarbazine,Valrubicin,UO31_KIDNEY,antagonism
Dacarbazine,Dasatinib,PC3_PROSTATE,antagonism
Cabazitaxel,Dacarbazine,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Lenalidomide,Methotrexate,EKVX_LUNG,antagonism
Paclitaxel,Allopurinol,NCIH2122_LUNG,antagonism
Fluorouracil,Everolimus,786O_KIDNEY,antagonism
Lenalidomide,Hydroxyurea,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Anastrozole,MDAMB231_BREAST,antagonism
Dexrazoxane,Hydroxyurea,IGROV1_OVARY,antagonism
Lomustine,Vemurafenib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Tretinoin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Valrubicin,Carmustine,NCIH522_LUNG,antagonism
Gefitinib,Letrozole,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Etoposide,Hydroxyurea,MCF7_BREAST,antagonism
Axitinib,Sorafenib,NCIH522_LUNG,antagonism
Dasatinib,Busulfan,MALME3M_SKIN,antagonism
Lomustine,Crizotinib,HOP92_LUNG,antagonism
Pemetrexed,Fluorouracil,UACC62_SKIN,antagonism
Valrubicin,Decitabine,BT549_BREAST,antagonism
Abiraterone,Teniposide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Teniposide,OVCAR4_OVARY,antagonism
Teniposide,Bortezomib,LOXIMVI_SKIN,antagonism
Lomustine,Vemurafenib,HCT116_LARGE_INTESTINE,antagonism
Everolimus,Hydroxyurea,PC3_PROSTATE,antagonism
Gefitinib,Allopurinol,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Methotrexate,ThioTEPA,HOP92_LUNG,antagonism
Vemurafenib,Lomustine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Letrozole,Carmustine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Decitabine,A549_LUNG,antagonism
Crizotinib,Lomustine,UACC62_SKIN,antagonism
Teniposide,Methotrexate,MDAMB468_BREAST,antagonism
Vemurafenib,Pipobroman,CAKI1_KIDNEY,antagonism
Cabazitaxel,Pentostatin,EKVX_LUNG,antagonism
Lomustine,Dasatinib,NCIH522_LUNG,antagonism
Busulfan,Allopurinol,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Decitabine,HOP92_LUNG,antagonism
Imiquimod,Decitabine,HCT15_LARGE_INTESTINE,antagonism
Fluorouracil,Sorafenib,LOVO_LARGE_INTESTINE,antagonism
Axitinib,Tretinoin,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Crizotinib,A498_KIDNEY,antagonism
Fluorouracil,MK-1775,LNCAPCLONEFGC_PROSTATE,antagonism
Dacarbazine,Chlorambucil,MCF7_BREAST,antagonism
Vemurafenib,Sorafenib,IGROV1_OVARY,antagonism
Fluorouracil,Tioguanine,MDAMB231_BREAST,antagonism
Fluorouracil,Allopurinol,KM12_LARGE_INTESTINE,antagonism
Fulvestrant,Methoxsalen,HS578T_BREAST,antagonism
Dexrazoxane,Letrozole,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Etoposide,Letrozole,SKOV3_OVARY,antagonism
Pemetrexed,Mitotane,MDAMB231_BREAST,antagonism
Vandetanib,Fulvestrant,CAKI1_KIDNEY,antagonism
Pemetrexed,Lomustine,MCF7_BREAST,antagonism
Pemetrexed,Sorafenib,HOP62_LUNG,antagonism
