Drug1,Drug2,Cell_line,classification
Fulvestrant,Ifosfamide,HCT15_LARGE_INTESTINE,synergy
Fulvestrant,Ifosfamide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Ifosfamide,LOXIMVI_SKIN,synergy
Fulvestrant,Ifosfamide,MALME3M_SKIN,synergy
Fulvestrant,Ifosfamide,PC3_PROSTATE,synergy
Fulvestrant,Ifosfamide,SKOV3_OVARY,synergy
Fulvestrant,Ifosfamide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Ifosfamide,UACC257_SKIN,synergy
Fulvestrant,Imiquimod,HCT116_LARGE_INTESTINE,antagonism
Fulvestrant,Imiquimod,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Imiquimod,MDAMB435S_SKIN,synergy
Fulvestrant,Imiquimod,NCIH226_LUNG,synergy
Fulvestrant,Imiquimod,OVCAR8_OVARY,synergy
Fulvestrant,Imiquimod,T47D_BREAST,synergy
Fulvestrant,Ixabepilone,786O_KIDNEY,synergy
Fulvestrant,Ixabepilone,CAKI1_KIDNEY,synergy
Fulvestrant,Ixabepilone,EKVX_LUNG,antagonism
Fulvestrant,Ixabepilone,HCT15_LARGE_INTESTINE,synergy
Fulvestrant,Ixabepilone,HOP92_LUNG,synergy
Fulvestrant,Ixabepilone,MCF7_BREAST,antagonism
Fulvestrant,Ixabepilone,NCIH2122_LUNG,synergy
Fulvestrant,Ixabepilone,NCIH23_LUNG,synergy
Fulvestrant,Ixabepilone,SF295_CENTRAL_NERVOUS_SYSTEM,synergy
Fulvestrant,Ixabepilone,SKMEL28_SKIN,synergy
Fulvestrant,Ixabepilone,SW620_LARGE_INTESTINE,synergy
Fulvestrant,Ixabepilone,UO31_KIDNEY,antagonism
Fulvestrant,Methotrexate,BT549_BREAST,antagonism
Fulvestrant,Methotrexate,HOP62_LUNG,antagonism
Fulvestrant,Methotrexate,HOP92_LUNG,antagonism
Fulvestrant,Methotrexate,HT29_LARGE_INTESTINE,synergy
Fulvestrant,Methotrexate,MCF7_BREAST,antagonism
Fulvestrant,Methotrexate,NCIH2122_LUNG,antagonism
Fulvestrant,Methotrexate,NCIH226_LUNG,antagonism
Fulvestrant,Methotrexate,OVCAR8_OVARY,antagonism
Fulvestrant,Methotrexate,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Fulvestrant,Methotrexate,SKMEL28_SKIN,antagonism
Fulvestrant,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Fulvestrant,Methotrexate,SW620_LARGE_INTESTINE,synergy
Fulvestrant,Methotrexate,T47D_BREAST,synergy
Fulvestrant,Methotrexate,UO31_KIDNEY,synergy
Fulvestrant,Methoxsalen,A498_KIDNEY,synergy
Fulvestrant,Methoxsalen,CAKI1_KIDNEY,synergy
Fulvestrant,Methoxsalen,HCT15_LARGE_INTESTINE,synergy
Fulvestrant,Methoxsalen,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Methoxsalen,HS578T_BREAST,antagonism
Fulvestrant,Methoxsalen,LOXIMVI_SKIN,synergy
Fulvestrant,Methoxsalen,MDAMB435S_SKIN,synergy
Fulvestrant,Methoxsalen,NCIH23_LUNG,antagonism
Fulvestrant,Methoxsalen,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fulvestrant,Methoxsalen,SW620_LARGE_INTESTINE,synergy
Fulvestrant,Methoxsalen,T47D_BREAST,antagonism
Fulvestrant,Methoxsalen,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Fulvestrant,Methoxsalen,UACC257_SKIN,synergy
Fulvestrant,Methoxsalen,UACC62_SKIN,synergy
Fulvestrant,Pentostatin,CAKI1_KIDNEY,synergy
Fulvestrant,Pentostatin,HCT15_LARGE_INTESTINE,synergy
Fulvestrant,Pentostatin,KM12_LARGE_INTESTINE,synergy
Fulvestrant,Pipobroman,786O_KIDNEY,antagonism
Fulvestrant,Pipobroman,DU145_PROSTATE,synergy
Fulvestrant,Pipobroman,HCT116_LARGE_INTESTINE,antagonism
Fulvestrant,Pipobroman,HCT15_LARGE_INTESTINE,antagonism
Fulvestrant,Pipobroman,HOP62_LUNG,antagonism
Fulvestrant,Pipobroman,HOP92_LUNG,antagonism
Fulvestrant,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Fulvestrant,Pipobroman,NCIH23_LUNG,antagonism
Fulvestrant,Pipobroman,NCIH460_LUNG,synergy
Fulvestrant,Pipobroman,NCIH522_LUNG,antagonism
Fulvestrant,Pipobroman,OVCAR8_OVARY,antagonism
Fulvestrant,Pipobroman,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fulvestrant,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Fulvestrant,Pipobroman,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Fulvestrant,Pipobroman,SKMEL5_SKIN,antagonism
Fulvestrant,Pipobroman,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Fulvestrant,Sorafenib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Sorafenib,HT29_LARGE_INTESTINE,synergy
Fulvestrant,Sorafenib,MDAMB435S_SKIN,synergy
Fulvestrant,Sorafenib,MDAMB468_BREAST,synergy
Fulvestrant,Sorafenib,NCIH23_LUNG,synergy
Fulvestrant,Sorafenib,NCIH460_LUNG,synergy
Fulvestrant,Sorafenib,OVCAR8_OVARY,antagonism
Fulvestrant,Sorafenib,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Fulvestrant,Sorafenib,SW620_LARGE_INTESTINE,synergy
Fulvestrant,Sorafenib,UO31_KIDNEY,antagonism
Fulvestrant,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Fulvestrant,Thalidomide,ACHN_KIDNEY,synergy
Fulvestrant,Thalidomide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Thalidomide,HOP62_LUNG,synergy
Fulvestrant,Thalidomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Fulvestrant,Thalidomide,MALME3M_SKIN,synergy
Fulvestrant,Thalidomide,NCIH522_LUNG,synergy
Fulvestrant,Thalidomide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fulvestrant,Thalidomide,SNB75_CENTRAL_NERVOUS_SYSTEM,synergy
Fulvestrant,Thalidomide,T47D_BREAST,synergy
GDC-0349,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
GDC-0980,Cobimetinib,RD_SOFT_TISSUE,synergy
GDC-0980,Trametinib,RD_SOFT_TISSUE,synergy
GSK-1070916A,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
GSK-2126458,BMS-754807,RD_SOFT_TISSUE,synergy
GSK-2126458,Belinostat,RD_SOFT_TISSUE,synergy
GSK-2126458,Ceritinib,RD_SOFT_TISSUE,synergy
GSK-2126458,MK-2206,RD_SOFT_TISSUE,synergy
GSK-2126458,Trametinib,RD_SOFT_TISSUE,synergy
GSK-256066,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
GSK-2636771,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
GSK-461364A,AT-7519,TC71_BONE,antagonism
GSK-461364A,AVN944,TC71_BONE,synergy
GSK-461364A,AZD-8055,TC71_BONE,antagonism
GSK-461364A,BKM-120,TC71_BONE,synergy
GSK-461364A,Carfilzomib,TC71_BONE,antagonism
GSK-461364A,Crenolanib,TC71_BONE,synergy
GSK-461364A,Danusertib,TC71_BONE,antagonism
GSK-461364A,Etoposide,TC71_BONE,synergy
GSK-615,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
GSK-690693,Cobimetinib,RD_SOFT_TISSUE,synergy
GSK-690693,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
GSK-690693,Trametinib,RD_SOFT_TISSUE,synergy
GZD-824,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Galeterone,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Ganciclovir,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Gandotinib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Gatifloxacin,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,5-Azacitidine,786O_KIDNEY,antagonism
Gefitinib,5-Azacitidine,A549_LUNG,synergy
Gefitinib,5-Azacitidine,CAKI1_KIDNEY,antagonism
Gefitinib,5-Azacitidine,HCT116_LARGE_INTESTINE,antagonism
Gefitinib,5-Azacitidine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,5-Azacitidine,HT29_LARGE_INTESTINE,synergy
Gefitinib,5-Azacitidine,IGROV1_OVARY,synergy
Gefitinib,5-Azacitidine,MALME3M_SKIN,synergy
Gefitinib,5-Azacitidine,MDAMB468_BREAST,antagonism
Gefitinib,5-Azacitidine,NCIH460_LUNG,synergy
Gefitinib,5-Azacitidine,OVCAR4_OVARY,antagonism
Gefitinib,5-Azacitidine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,5-Azacitidine,SKMEL5_SKIN,antagonism
Gefitinib,5-Azacitidine,UACC62_SKIN,antagonism
Gefitinib,5-Azacitidine,UO31_KIDNEY,antagonism
Gefitinib,Allopurinol,CAKI1_KIDNEY,antagonism
Gefitinib,Allopurinol,EKVX_LUNG,antagonism
Gefitinib,Allopurinol,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Allopurinol,HOP92_LUNG,antagonism
Gefitinib,Allopurinol,HT29_LARGE_INTESTINE,synergy
Gefitinib,Allopurinol,KM12_LARGE_INTESTINE,synergy
Gefitinib,Allopurinol,LOXIMVI_SKIN,antagonism
Gefitinib,Allopurinol,MCF7_BREAST,antagonism
Gefitinib,Allopurinol,MDAMB468_BREAST,antagonism
Gefitinib,Allopurinol,NCIH23_LUNG,antagonism
Gefitinib,Allopurinol,NCIH460_LUNG,antagonism
Gefitinib,Allopurinol,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Allopurinol,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Allopurinol,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Allopurinol,UO31_KIDNEY,antagonism
Gefitinib,Altretamine,A549_LUNG,antagonism
Gefitinib,Altretamine,HCT116_LARGE_INTESTINE,antagonism
Gefitinib,Altretamine,HT29_LARGE_INTESTINE,synergy
Gefitinib,Altretamine,IGROV1_OVARY,synergy
Gefitinib,Altretamine,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Altretamine,MALME3M_SKIN,antagonism
Gefitinib,Altretamine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Anastrozole,A498_KIDNEY,antagonism
Gefitinib,Anastrozole,BT549_BREAST,antagonism
Gefitinib,Anastrozole,HOP62_LUNG,antagonism
Gefitinib,Anastrozole,HOP92_LUNG,antagonism
Gefitinib,Anastrozole,HS578T_BREAST,antagonism
Gefitinib,Anastrozole,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Anastrozole,NCIH23_LUNG,antagonism
Gefitinib,Anastrozole,SKOV3_OVARY,antagonism
Gefitinib,Anastrozole,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Anastrozole,T47D_BREAST,antagonism
Gefitinib,Anastrozole,UO31_KIDNEY,antagonism
Gefitinib,Bortezomib,A498_KIDNEY,antagonism
Gefitinib,Bortezomib,BT549_BREAST,antagonism
Gefitinib,Bortezomib,EKVX_LUNG,antagonism
Gefitinib,Bortezomib,HCT116_LARGE_INTESTINE,antagonism
Gefitinib,Bortezomib,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Bortezomib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Bortezomib,HOP62_LUNG,antagonism
Gefitinib,Bortezomib,HOP92_LUNG,antagonism
Gefitinib,Bortezomib,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Bortezomib,MALME3M_SKIN,antagonism
Gefitinib,Bortezomib,MDAMB231_BREAST,antagonism
Gefitinib,Bortezomib,NCIH23_LUNG,antagonism
Gefitinib,Bortezomib,NCIH460_LUNG,antagonism
Gefitinib,Bortezomib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Bortezomib,SKMEL5_SKIN,antagonism
Gefitinib,Bortezomib,SKOV3_OVARY,antagonism
Gefitinib,Bortezomib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Bortezomib,SW620_LARGE_INTESTINE,antagonism
Gefitinib,Bortezomib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Busulfan,CAKI1_KIDNEY,antagonism
Gefitinib,Busulfan,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Busulfan,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Busulfan,KM12_LARGE_INTESTINE,synergy
Gefitinib,Busulfan,LOXIMVI_SKIN,antagonism
Gefitinib,Busulfan,MCF7_BREAST,synergy
Gefitinib,Busulfan,NCIH226_LUNG,antagonism
Gefitinib,Busulfan,NCIH460_LUNG,antagonism
Gefitinib,Busulfan,OVCAR4_OVARY,antagonism
Gefitinib,Busulfan,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Busulfan,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Busulfan,UACC62_SKIN,antagonism
Gefitinib,Carmustine,786O_KIDNEY,antagonism
Gefitinib,Carmustine,A498_KIDNEY,antagonism
Gefitinib,Carmustine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Carmustine,HOP92_LUNG,antagonism
Gefitinib,Carmustine,MDAMB231_BREAST,antagonism
Gefitinib,Carmustine,NCIH460_LUNG,antagonism
Gefitinib,Carmustine,OVCAR8_OVARY,synergy
Gefitinib,Carmustine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Carmustine,UACC62_SKIN,antagonism
Gefitinib,Chlorambucil,786O_KIDNEY,antagonism
Gefitinib,Chlorambucil,A498_KIDNEY,antagonism
Gefitinib,Chlorambucil,BT549_BREAST,antagonism
Gefitinib,Chlorambucil,DU145_PROSTATE,antagonism
Gefitinib,Chlorambucil,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Chlorambucil,HOP62_LUNG,antagonism
Gefitinib,Chlorambucil,HOP92_LUNG,antagonism
Gefitinib,Chlorambucil,IGROV1_OVARY,synergy
Gefitinib,Chlorambucil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Chlorambucil,LOXIMVI_SKIN,antagonism
Gefitinib,Chlorambucil,MALME3M_SKIN,antagonism
Gefitinib,Chlorambucil,MCF7_BREAST,antagonism
Gefitinib,Chlorambucil,MDAMB231_BREAST,antagonism
Gefitinib,Chlorambucil,NCIH23_LUNG,antagonism
Gefitinib,Chlorambucil,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Chlorambucil,SKMEL28_SKIN,antagonism
Gefitinib,Chlorambucil,SKMEL5_SKIN,antagonism
Gefitinib,Chlorambucil,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Chlorambucil,T47D_BREAST,antagonism
Gefitinib,Chlorambucil,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Chlorambucil,UACC62_SKIN,antagonism
Gefitinib,Crizotinib,A498_KIDNEY,antagonism
Gefitinib,Crizotinib,A549_LUNG,antagonism
Gefitinib,Crizotinib,HCT116_LARGE_INTESTINE,antagonism
Gefitinib,Crizotinib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Crizotinib,HOP92_LUNG,antagonism
Gefitinib,Crizotinib,LOXIMVI_SKIN,antagonism
Gefitinib,Crizotinib,MDAMB435S_SKIN,antagonism
Gefitinib,Crizotinib,NCIH226_LUNG,antagonism
Gefitinib,Crizotinib,NCIH23_LUNG,antagonism
Gefitinib,Crizotinib,PC3_PROSTATE,antagonism
Gefitinib,Crizotinib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Crizotinib,SKOV3_OVARY,antagonism
Gefitinib,Crizotinib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Crizotinib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Crizotinib,UACC62_SKIN,antagonism
Gefitinib,Crizotinib,UO31_KIDNEY,antagonism
Gefitinib,Dacarbazine,786O_KIDNEY,antagonism
Gefitinib,Dacarbazine,A549_LUNG,antagonism
Gefitinib,Dacarbazine,BT549_BREAST,antagonism
Gefitinib,Dacarbazine,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Dacarbazine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Dacarbazine,HOP62_LUNG,antagonism
Gefitinib,Dacarbazine,HT29_LARGE_INTESTINE,antagonism
Gefitinib,Dacarbazine,IGROV1_OVARY,synergy
Gefitinib,Dacarbazine,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Dacarbazine,MALME3M_SKIN,antagonism
Gefitinib,Dacarbazine,NCIH460_LUNG,antagonism
Gefitinib,Dacarbazine,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Gefitinib,Dacarbazine,SKOV3_OVARY,antagonism
Gefitinib,Dacarbazine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dacarbazine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Dacarbazine,T47D_BREAST,antagonism
Gefitinib,Dacarbazine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dacarbazine,UACC62_SKIN,antagonism
Gefitinib,Dacarbazine,UO31_KIDNEY,antagonism
Gefitinib,Dasatinib,HOP62_LUNG,antagonism
Gefitinib,Dasatinib,IGROV1_OVARY,synergy
Gefitinib,Dasatinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Dasatinib,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Dasatinib,LOXIMVI_SKIN,antagonism
Gefitinib,Dasatinib,NCIH226_LUNG,antagonism
Gefitinib,Dasatinib,OVCAR4_OVARY,antagonism
Gefitinib,Dasatinib,SKOV3_OVARY,synergy
Gefitinib,Dasatinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dasatinib,UO31_KIDNEY,antagonism
Gefitinib,Decitabine,786O_KIDNEY,antagonism
Gefitinib,Decitabine,A549_LUNG,antagonism
Gefitinib,Decitabine,BT549_BREAST,antagonism
Gefitinib,Decitabine,CAKI1_KIDNEY,antagonism
Gefitinib,Decitabine,HCT116_LARGE_INTESTINE,antagonism
Gefitinib,Decitabine,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Decitabine,HOP62_LUNG,antagonism
Gefitinib,Decitabine,HOP92_LUNG,antagonism
Gefitinib,Decitabine,HT29_LARGE_INTESTINE,synergy
Gefitinib,Decitabine,IGROV1_OVARY,synergy
Gefitinib,Decitabine,NCIH460_LUNG,antagonism
Gefitinib,Decitabine,OVCAR8_OVARY,antagonism
Gefitinib,Decitabine,PC3_PROSTATE,antagonism
Gefitinib,Decitabine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Decitabine,SKMEL5_SKIN,antagonism
Gefitinib,Decitabine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dexrazoxane,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Dexrazoxane,HOP92_LUNG,antagonism
Gefitinib,Dexrazoxane,IGROV1_OVARY,synergy
Gefitinib,Dexrazoxane,LOXIMVI_SKIN,synergy
Gefitinib,Dexrazoxane,MALME3M_SKIN,antagonism
Gefitinib,Dexrazoxane,MCF7_BREAST,antagonism
Gefitinib,Dexrazoxane,MDAMB231_BREAST,antagonism
Gefitinib,Dexrazoxane,MDAMB435S_SKIN,antagonism
Gefitinib,Dexrazoxane,MDAMB468_BREAST,synergy
Gefitinib,Dexrazoxane,NCIH226_LUNG,antagonism
Gefitinib,Dexrazoxane,NCIH23_LUNG,antagonism
Gefitinib,Dexrazoxane,NCIH460_LUNG,synergy
Gefitinib,Dexrazoxane,OVCAR8_OVARY,antagonism
Gefitinib,Dexrazoxane,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dexrazoxane,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Gefitinib,Dexrazoxane,SKMEL28_SKIN,antagonism
Gefitinib,Dexrazoxane,SKMEL5_SKIN,synergy
Gefitinib,Dexrazoxane,SKOV3_OVARY,antagonism
Gefitinib,Dexrazoxane,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dexrazoxane,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Dexrazoxane,T47D_BREAST,antagonism
Gefitinib,Dexrazoxane,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Dexrazoxane,UACC62_SKIN,antagonism
Gefitinib,Etoposide,A549_LUNG,synergy
Gefitinib,Etoposide,ACHN_KIDNEY,synergy
Gefitinib,Etoposide,EKVX_LUNG,synergy
Gefitinib,Etoposide,HCT116_LARGE_INTESTINE,synergy
Gefitinib,Etoposide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Etoposide,HS578T_BREAST,synergy
Gefitinib,Etoposide,IGROV1_OVARY,synergy
Gefitinib,Etoposide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Etoposide,KM12_LARGE_INTESTINE,synergy
Gefitinib,Etoposide,LOXIMVI_SKIN,synergy
Gefitinib,Etoposide,MALME3M_SKIN,antagonism
Gefitinib,Etoposide,MDAMB468_BREAST,synergy
Gefitinib,Etoposide,NCIH2122_LUNG,synergy
Gefitinib,Etoposide,NCIH460_LUNG,synergy
Gefitinib,Etoposide,OVCAR4_OVARY,antagonism
Gefitinib,Etoposide,OVCAR8_OVARY,synergy
Gefitinib,Etoposide,SF295_CENTRAL_NERVOUS_SYSTEM,synergy
Gefitinib,Etoposide,SKMEL28_SKIN,antagonism
Gefitinib,Etoposide,SKMEL5_SKIN,synergy
Gefitinib,Etoposide,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Etoposide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Etoposide,SW620_LARGE_INTESTINE,synergy
Gefitinib,Etoposide,UACC62_SKIN,synergy
Gefitinib,Everolimus,CAKI1_KIDNEY,antagonism
Gefitinib,Everolimus,EKVX_LUNG,antagonism
Gefitinib,Everolimus,HCT116_LARGE_INTESTINE,antagonism
Gefitinib,Everolimus,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Everolimus,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Everolimus,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Everolimus,NCIH2122_LUNG,antagonism
Gefitinib,Everolimus,NCIH23_LUNG,antagonism
Gefitinib,Everolimus,NCIH460_LUNG,antagonism
Gefitinib,Everolimus,OVCAR4_OVARY,synergy
Gefitinib,Everolimus,OVCAR8_OVARY,antagonism
Gefitinib,Everolimus,PC3_PROSTATE,antagonism
Gefitinib,Everolimus,SKOV3_OVARY,antagonism
Gefitinib,Everolimus,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Everolimus,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Everolimus,T47D_BREAST,antagonism
Gefitinib,Everolimus,UO31_KIDNEY,antagonism
Gefitinib,Fluorouracil,A498_KIDNEY,antagonism
Gefitinib,Fluorouracil,BT549_BREAST,antagonism
Gefitinib,Fluorouracil,DU145_PROSTATE,antagonism
Gefitinib,Fluorouracil,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Fluorouracil,HT29_LARGE_INTESTINE,antagonism
Gefitinib,Fluorouracil,IGROV1_OVARY,synergy
Gefitinib,Fluorouracil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Fluorouracil,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Fluorouracil,MDAMB231_BREAST,antagonism
Gefitinib,Fluorouracil,MDAMB435S_SKIN,antagonism
Gefitinib,Fluorouracil,NCIH2122_LUNG,synergy
Gefitinib,Fluorouracil,NCIH23_LUNG,antagonism
Gefitinib,Fluorouracil,NCIH522_LUNG,antagonism
Gefitinib,Fluorouracil,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Fluorouracil,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Fluorouracil,SKMEL5_SKIN,antagonism
Gefitinib,Fluorouracil,T47D_BREAST,antagonism
Gefitinib,Fluorouracil,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Fluorouracil,UACC62_SKIN,antagonism
Gefitinib,Fulvestrant,HCT15_LARGE_INTESTINE,antagonism
Gefitinib,Fulvestrant,HOP62_LUNG,antagonism
Gefitinib,Fulvestrant,HOP92_LUNG,antagonism
Gefitinib,Fulvestrant,HS578T_BREAST,antagonism
Gefitinib,Fulvestrant,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Fulvestrant,NCIH226_LUNG,antagonism
Gefitinib,Fulvestrant,SKOV3_OVARY,antagonism
Gefitinib,Fulvestrant,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Fulvestrant,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Fulvestrant,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Fulvestrant,UACC62_SKIN,antagonism
Gefitinib,Fulvestrant,UO31_KIDNEY,antagonism
Gefitinib,Hydroxyurea,A498_KIDNEY,antagonism
Gefitinib,Hydroxyurea,ACHN_KIDNEY,antagonism
Gefitinib,Hydroxyurea,BT549_BREAST,antagonism
Gefitinib,Hydroxyurea,CAKI1_KIDNEY,antagonism
Gefitinib,Hydroxyurea,DU145_PROSTATE,antagonism
Gefitinib,Hydroxyurea,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Gefitinib,Hydroxyurea,HOP92_LUNG,antagonism
Gefitinib,Hydroxyurea,HT29_LARGE_INTESTINE,antagonism
Gefitinib,Hydroxyurea,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Hydroxyurea,MCF7_BREAST,antagonism
Gefitinib,Hydroxyurea,MDAMB231_BREAST,antagonism
Gefitinib,Hydroxyurea,NCIH460_LUNG,antagonism
Gefitinib,Hydroxyurea,PC3_PROSTATE,antagonism
